department,classification,cited_name,nationality,gender,number of pieces
Contemporary Art,paintings,"Tansey, Mark",America,Male,1
Contemporary Art,paintings,"Taylor, Henry",America,Male,2
Contemporary Art,paintings,"Teichman, Sabina",America,Female,1
Contemporary Art,paintings,"Thek, Paul",America,Male,3
Contemporary Art,paintings,"Thiebaud, Wayne",America,Male,3
Contemporary Art,paintings,"Thompson, Ralston",America,Male,4
Contemporary Art,paintings,"Ting, Walasse",China,Male,4
Contemporary Art,paintings,"Tobey, Mark",America,Male,5
Contemporary Art,paintings,"Trökes, Heinz",Germany,Male,1
Contemporary Art,paintings,"Trier, Hann",Germany,Male,1
Contemporary Art,paintings,"Tuymans, Luc",Belgium,Male,1
Contemporary Art,paintings,"Twiggs, Russell G.",America,Male,7
Contemporary Art,paintings,Twins Seven Seven,Nigeria,Male,1
Contemporary Art,paintings,"Tworkov, Jack",America,Male,1
Contemporary Art,paintings,unknown,France,unknown,1
Contemporary Art,paintings,"Vasell, Chris",America,Male,1
Contemporary Art,paintings,"Velde, Bram van",Netherlands,Male,2
Contemporary Art,paintings,"Venard, Claude",France,Female,1
Contemporary Art,paintings,"Vieira da Silva, Maria Helena",France,Male,1
Contemporary Art,paintings,"Villon, Jacques",France,Male,3
Contemporary Art,paintings,"von Wiegand, Charmion",America,Female,2
Contemporary Art,paintings,"Waldman, Paul",America,Male,1
Contemporary Art,paintings,"Walker, Kelley",America,Male,7
Contemporary Art,paintings,"Warshaw, Howard",America,Male,1
Contemporary Art,paintings,Wayne Gonzales,America,Male,1
Contemporary Art,paintings,"Welliver, Neil",America,Male,2
Contemporary Art,paintings,"Wiley, William",America,Male,1
Contemporary Art,paintings,"Wilkes, Cathy",Ireland,Female,5
Contemporary Art,paintings,"Willis, Thornton",America,Male,2
Contemporary Art,paintings,"Wilson, Lloyd E.",America,Male,1
Contemporary Art,paintings,"Wingren, Dan",America,Male,1
Contemporary Art,paintings,"Winter, Fritz",Germany,Male,2
Contemporary Art,paintings,"Witek, Joan",America,Female,1
Contemporary Art,paintings,"Wolvecamp, Theo W.",Netherlands,Male,1
Contemporary Art,paintings,"Wou-Ki, Zao",France,Male,3
Contemporary Art,paintings,"Wyckaert, Maurice",Belgium,Male,2
Contemporary Art,paintings,"Xceron, Jean",Greece,Male,1
Contemporary Art,paintings,"Yrisarry, Mario",America,Male,1
Contemporary Art,paintings,"Zaugg, Rémy",Switzerland,Male,1
Contemporary Art,paintings,"Zoller, Edwin W.",America,Male,1
Contemporary Art,paintings,"Zucker, Joe",America,Male,2
Contemporary Art,prints,"Accardi, Carla",Italy,Female,1
Contemporary Art,prints,"Acconci, Vito",America,Male,1
Contemporary Art,prints,"Adam, Henri G.",France,Male,3
Contemporary Art,prints,"Adams, Robert",Britain,Male,1
Contemporary Art,prints,Ôuchi Makoto,Japan,Male,1
Contemporary Art,prints,"Albers, Anni",America,Female,2
Contemporary Art,prints,"Alechinsky, Pierre",Belgium,Male,99
Contemporary Art,prints,Amano Kunihiro,Japan,Male,2
Contemporary Art,prints,"Amen, Irving",America,Male,1
Contemporary Art,prints,"Annesley, David",Britain,Male,2
Contemporary Art,prints,"Arp, Jean",France,Male,5
Contemporary Art,prints,"Artschwager, Richard",America,Male,4
Contemporary Art,prints,"Auerbach, Frank H.",Britain,Male,5
Contemporary Art,prints,"Avery, Milton",America,Male,2
Contemporary Art,prints,Ay-O,Japan,Male,1
Contemporary Art,prints,"Ayrton, Michael",Britain,Male,1
Contemporary Art,prints,"Bachardy, Don",America,Male,2
Contemporary Art,prints,"Bacon, Peggy",America,Female,4
Contemporary Art,prints,"Baldessari, John",America,Male,5
Contemporary Art,prints,Balthus,France,Male,1
Contemporary Art,prints,"Bannard, Walter D.",America,Male,4
Contemporary Art,prints,"Barrett, Lawrence",America,Male,1
Contemporary Art,prints,"Barry, Robert",America,Male,1
Contemporary Art,prints,"Bartlett, Jennifer",America,Female,4
Contemporary Art,prints,"Bauermeister, Mary",Germany,Female,2
Contemporary Art,prints,"Baumgarten, Lothar",Germany,Male,3
Contemporary Art,prints,"Bayer, Herbert",America,Male,1
Contemporary Art,prints,"Bayrle, Thomas",Britain,Male,1
Contemporary Art,prints,"Beal, Jack",America,Male,1
Contemporary Art,prints,"Bear, S. Lee",America,Male,1
Contemporary Art,prints,"Bearden, Romare",America,Male,3
Contemporary Art,prints,"Beckley, Jon",America,Male,2
Contemporary Art,prints,"Beecher, William Ward",America,Male,1
Contemporary Art,prints,"Bellmer, Hans",Germany,Male,1
Contemporary Art,prints,"Beuys, Joseph",Germany,Male,1
Contemporary Art,prints,"Bhavsar, Natvar P.",India,Male,4
Contemporary Art,prints,"Birnbaum, Dara",America,Female,1
Contemporary Art,prints,"Bissière, Roger",France,Male,2
Contemporary Art,prints,"Blackburn, Morris A.",America,Male,1
Contemporary Art,prints,"Blake, Peter",Britain,Male,6
Contemporary Art,prints,"Blampied, Edmund",Britain,Male,4
Contemporary Art,prints,"Bloom, Barbara",America,Male,1
Contemporary Art,prints,"Blumenschein, Helen G.",America,Female,1
Contemporary Art,prints,"Bock, John",Germany,Female,6
Contemporary Art,prints,"Bogue-Overbay, Paula",America,Female,1
Contemporary Art,prints,"Bontecou, Lee",America,Male,1
Contemporary Art,prints,"Borofsky, Jonathan",America,Female,4
Contemporary Art,prints,"Bourgeois, Louise",France,Male,1
Contemporary Art,prints,"Bowen, Robert Goss, Jr.",America,Male,1
Contemporary Art,prints,"Braque, Georges",France,Male,5
Contemporary Art,prints,"Brauner, Victor",Romania,Male,1
Contemporary Art,prints,"Breer, Robert",America,Male,1
Contemporary Art,prints,"Browning, Colleen",America,Female,1
Contemporary Art,prints,"Brunskill, Anna",Britain,Female,9
Contemporary Art,prints,"Bryen, Camille",France,Female,1
Contemporary Art,prints,"Buffet, Bernard",France,Male,2
Contemporary Art,prints,"Bukovnik, Gary A.",America,Male,8
Contemporary Art,prints,"Bumbeck, David",America,Male,2
Contemporary Art,prints,"Butler, Reg",Britain,Male,12
Contemporary Art,prints,"Calder, Alexander",America,Male,3
Contemporary Art,prints,"Camnitzer, Luis",Uruguay,Male,1
Contemporary Art,prints,"Campigli, Massimo",Italy,Male,3
Contemporary Art,prints,"Cantini, Virgil",America,Male,1
Contemporary Art,prints,"Carsman, Jon",America,Male,3
Contemporary Art,prints,"Castagno, John",America,Male,2
Contemporary Art,prints,"Catlett, Elizabeth",America,Female,1
Contemporary Art,prints,"Caulfield, Patrick",Britain,Male,7
Contemporary Art,prints,"Celice, Pierre",France,Male,11
Contemporary Art,prints,"Celmins, Vija",America,Female,4
Contemporary Art,prints,"Chagall, Marc",Russia,Male,14
Contemporary Art,prints,"Chamberlain, John",America,Male,2
Contemporary Art,prints,"Chapin, James",America,Male,2
Contemporary Art,prints,"Charlot, Jean",France,Male,1
Contemporary Art,prints,"Chen, Phillip",America,Male,1
Contemporary Art,prints,"Chillida, Eduardo",Spain,Male,17
Contemporary Art,prints,"Christie, John",Britain,Male,22
Contemporary Art,prints,Christo,America,Male,6
Contemporary Art,prints,Chryssa,America,Female,1
Contemporary Art,prints,"Clemente, Francesco",Italy,Male,2
Contemporary Art,prints,"Close, Chuck",America,Male,4
Contemporary Art,prints,"Cohen, Bernard",Britain,Male,14
Contemporary Art,prints,"Colescott, Warrington W.",America,Male,11
Contemporary Art,prints,"Conner, Angela",Britain,Female,1
Contemporary Art,prints,"Cook, August C.",America,Male,1
Contemporary Art,prints,"Cope, Leslie",America,Male,1
Contemporary Art,prints,Corneille,Belgium,Male,16
Contemporary Art,prints,"Cottingham, Robert",America,Male,2
Contemporary Art,prints,"Courtin, Pierre Louis Maurice",France,Male,1
Contemporary Art,prints,"Coutaud, Lucien",France,Male,1
Contemporary Art,prints,"Crile, Susan",America,Female,1
Contemporary Art,prints,"Csoka, Stephen",America,Male,1
Contemporary Art,prints,"Dalí, Salvador",Spain,Male,1
Contemporary Art,prints,"Damer, Jack",America,Male,2
Contemporary Art,prints,"D'Arcangelo, Allan",America,Male,10
Contemporary Art,prints,"Davis, Stuart",America,Male,2
Contemporary Art,prints,"Day, Wörden",America,Female,1
Contemporary Art,prints,"De Maria, Walter",America,Male,1
Contemporary Art,prints,"Deller, Jeremy",Britain,Male,1
Contemporary Art,prints,"Denny, Robyn",Britain,Male,6
Contemporary Art,prints,"Di Suvero, Mark",America,Male,1
Contemporary Art,prints,"Dickson, Jane L.",America,Female,1
Contemporary Art,prints,"Dominguez, Oscar",Spain,Male,1
Contemporary Art,prints,"Donaldson, Antony",Britain,Male,1
Contemporary Art,prints,"Drewes, Werner",America,Male,1
Contemporary Art,prints,"Dubuffet, Jean",France,Male,8
Contemporary Art,prints,"Dunham, Carroll",America,Male,1
Contemporary Art,prints,"Durham, Jimmie",America,Male,1
Contemporary Art,prints,"Edwards, Benjamin",America,Male,1
Contemporary Art,prints,"Eichenberg, Fritz",America,Male,1
Contemporary Art,prints,"Ernst, Jimmy",America,Male,2
Contemporary Art,prints,"Ernst, Max",Germany,Male,2
Contemporary Art,prints,"Estève, Maurice",France,Male,1
Contemporary Art,prints,"Fahlstrom, Oyvind",Sweden,Male,1
Contemporary Art,prints,"Falkenstein, Claire",America,Female,1
Contemporary Art,prints,"Fedden, Mary",Britain,Female,9
Contemporary Art,prints,"Feldmann, Hans Peter",Germany,Male,1
Contemporary Art,prints,"Ferber, Herbert",America,Male,1
Contemporary Art,prints,"Fiorini, Marcel",Algeria,Male,1
Contemporary Art,prints,"Fischer, Hans E.",Switzerland,Male,2
Contemporary Art,prints,"Fischl, Eric",America,Male,5
Contemporary Art,prints,Fischli & Weiss,Switzerland,Male,1
Contemporary Art,prints,"Flack, Audrey",America,Female,1
Contemporary Art,prints,"Flavin, Dan",America,Male,11
Contemporary Art,prints,"Frank, Mary",America,Female,1
Contemporary Art,prints,"Frankenthaler, Helen",America,Female,2
Contemporary Art,prints,"Frasconi, Antonio",America,Male,3
Contemporary Art,prints,"Friedlaender, Johnny",Germany,Male,4
Contemporary Art,prints,"Friedman, Yona",France,Male,2
Contemporary Art,prints,"Frink, Elisabeth",Britain,Female,31
Contemporary Art,prints,"Frost, Terry",Britain,Male,19
Contemporary Art,prints,Fukita Fumiaki,Japan,Male,4
Contemporary Art,prints,Fukui Ryonosuke,Japan,Male,1
Contemporary Art,prints,Fukushima Ichirô,Japan,Male,5
Contemporary Art,prints,"Furnival, John",Britain,Male,1
Contemporary Art,prints,Furukawa Ryûsei,Japan,Male,1
Contemporary Art,prints,"Gardner, Robert E.",America,Male,1
Contemporary Art,prints,"Genovés, Juan",Spain,Male,1
Contemporary Art,prints,"Gentry, Herbert",America,Male,1
Contemporary Art,prints,"Genzken, Isa",Germany,Female,1
Contemporary Art,prints,"Gerardia, Helen",America,Female,1
Contemporary Art,prints,"Gerzso, Gunther",Mexico,Male,1
Contemporary Art,prints,"Giacometti, Alberto",Switzerland,Male,8
Contemporary Art,prints,"Giorgini, Aldo",Italy,Male,5
Contemporary Art,prints,"Gober, Robert",America,Male,3
Contemporary Art,prints,"Golub, Leon A.",America,Male,4
Contemporary Art,prints,"Goode, Joe",America,Male,1
Contemporary Art,prints,"Gorsline, Douglas W.",America,Male,1
Contemporary Art,prints,"Gottlieb, Adolph",America,Male,7
Contemporary Art,prints,"Grant, Alistair",Britain,Male,1
Contemporary Art,prints,"Green, Alan",Britain,Male,3
Contemporary Art,prints,"Grooms, Red",America,Male,3
Contemporary Art,prints,"Gross, Anthony",Britain,Male,1
Contemporary Art,prints,"Groth, Jan",Norway,Male,2
Contemporary Art,prints,"Gruber, Aaronel deRoy",America,Female,1
Contemporary Art,prints,Guerrilla Girls,America,Female,89
Contemporary Art,prints,"Guitart, Francesc",Spain,Male,2
Contemporary Art,prints,"Haacke, Hans",Germany,Male,1
Contemporary Art,prints,"Haass, Terry",Czech Republic,Female,1
Contemporary Art,prints,"Höller, Carsten",Belgium,Male,12
Contemporary Art,prints,Hagiwara Hideo,Japan,Male,9
Contemporary Art,prints,"Hagman, Jack",America,Male,3
Contemporary Art,prints,Hamaguchi Yozo,Japan,Male,4
Contemporary Art,prints,"Hamilton, Richard",Britain,Male,2
Contemporary Art,prints,"Hansen, Edward",America,Male,4
Contemporary Art,prints,"Hartung, Hans",France,Male,2
Contemporary Art,prints,Hashimoto Okiie,Japan,Male,9
Contemporary Art,prints,Hatsuyama Shigeru,Japan,Male,6
Contemporary Art,prints,"Hay, Alex",America,Male,1
Contemporary Art,prints,"Hayden, Henri",Poland,Male,8
Contemporary Art,prints,"Hayter, Stanley W.",Britain,Male,11
Contemporary Art,prints,"Helion, Jean",France,Male,2
Contemporary Art,prints,"Herbin, Auguste",France,Male,1
Contemporary Art,prints,"Herman, Josef",Poland,Male,2
Contemporary Art,prints,"Heron, Patrick",Britain,Male,23
Contemporary Art,prints,"Heyboer, Anton",Netherlands,Male,2
Contemporary Art,prints,"Hill, Anthony",Britain,Male,1
Contemporary Art,prints,"Hilton, Roger",Britain,Male,2
Contemporary Art,prints,Hiratsuka Un'ichi,Japan,Male,15
Contemporary Art,prints,Hirayama Rôkô,Japan,Male,1
Contemporary Art,prints,"Hirsch, Joseph",America,Male,2
Contemporary Art,prints,"Hirst, Damien",Britain,Male,2
Contemporary Art,prints,"Hokanson, Hans",America,Male,1
Contemporary Art,prints,"Hood, Thomas R.",America,Male,1
Contemporary Art,prints,Hoshi Jôichi,Japan,Male,3
Contemporary Art,prints,"Houédard, Dom Sylvester",Britain,Male,1
Contemporary Art,prints,"House, Gordon",Britain,Male,51
Contemporary Art,prints,"Hoyland, John",Britain,Male,15
Contemporary Art,prints,"Hughes, Patrick",Britain,Male,13
Contemporary Art,prints,"Hugnet, Georges",France,Male,1
Contemporary Art,prints,"Humbert, Suzanne",France,Female,1
Contemporary Art,prints,"Huxley, Paul",Britain,Male,1
Contemporary Art,prints,Ide Gakusui,Japan,Male,2
Contemporary Art,prints,Ikeda Shûzô,Japan,Male,5
Contemporary Art,prints,Inagaki Akemi,Japan,Female,3
Contemporary Art,prints,Inagaki Tomoo,Japan,Male,7
Contemporary Art,prints,"Inman, Pauline W.",America,Female,1
Contemporary Art,prints,Itô Shinsui,Japan|Japan,Male,1
Contemporary Art,prints,"Iwami, Reika",Japan,Female,2
Contemporary Art,prints,Izumi Shigeru,Japan,Male,3
Contemporary Art,prints,"Jaray, Tess",Britain,Female,1
Contemporary Art,prints,"Jenkins, Paul",America,Male,3
Contemporary Art,prints,"Johns, Jasper",America,Male,2
Contemporary Art,prints,"Johnson, Lois M.",America,Female,1
Contemporary Art,prints,"Jones, Allen",Britain,Male,9
Contemporary Art,prints,"Julian, Peter",America,Male,1
Contemporary Art,prints,"Julien, Isaac",Britain,Male,1
Contemporary Art,prints,"Kabakov, Ilya",Russia,Male,10
Contemporary Art,prints,Kôsaka Ryûji,Japan,Male,1
Contemporary Art,prints,"Kahn, Max",America,Male,2
Contemporary Art,prints,Kanamori Yoshio,Japan,Male,3
Contemporary Art,prints,"Karhu, Clifton",America,Male,3
Contemporary Art,prints,Kasamatsu Shirô,Japan,Male,3
Contemporary Art,prints,Katatani Mika,Japan,Female,1
Contemporary Art,prints,Kawachi Meiko,Japan,Female,1
Contemporary Art,prints,Kawada Kan,Japan,Male,2
Contemporary Art,prints,Kawakami Sumio,Japan|Japan,Male,2
Contemporary Art,prints,Kawanishi Hide,Japan,Male,4
Contemporary Art,prints,Kawanishi Yûzaburô,Japan,Male,5
Contemporary Art,prints,Kawano Kaoru,Japan,Male,4
Contemporary Art,prints,Kawase Hasui,Japan|Japan,Male,1
Contemporary Art,prints,"Kelly, Marie Tuiccillo",America,Female,6
Contemporary Art,prints,"Kent, Norman",America,Male,1
Contemporary Art,prints,"Kent, Rockwell",America,Male,4
Contemporary Art,prints,"Kepets, Hugh",America,Male,1
Contemporary Art,prints,Kidokoro Sho,Japan,Male,1
Contemporary Art,prints,"King, Ronald",Britain,Male,41
Contemporary Art,prints,"Kitaj, R. B.",America,Male,23
Contemporary Art,prints,Kitaoka Fumio,Japan,Male,16
Contemporary Art,prints,"Klevan, Carla",America,Female,1
Contemporary Art,prints,"Knowles, Alison",America,Female,1
Contemporary Art,prints,"Knowles, Justin",Britain,Male,4
Contemporary Art,prints,Kobashi Yasuhide,Japan,Male,5
Contemporary Art,prints,"Kokoschka, Oskar",Austria,Male,21
Contemporary Art,prints,Kolos-Vary Sigismond,Hungary,Male,1
Contemporary Art,prints,"Kopman, Benjamin",America,Male,19
Contemporary Art,prints,"Koppelman, Chaim",America,Male,1
Contemporary Art,prints,Kosaka Gajin,Japan,Male,1
Contemporary Art,prints,"Krasner, Lee",America,Female,4
Contemporary Art,prints,"Kroll, Lucien",Belgium,Male,1
Contemporary Art,prints,"Krushenick, Nicholas",America,Male,5
Contemporary Art,prints,"Kubota, Jean",America,Female,1
Contemporary Art,prints,Kuroda Shigeki,Japan,Male,1
Contemporary Art,prints,Kuroki Sadao,Japan|Japan,Male,1
Contemporary Art,prints,"Lackovic-Croata, Ivan",Croatia,Male,99
Contemporary Art,prints,"Léger, Fernand",France,Male,3
Contemporary Art,prints,"Lagrange, Jacques",France,Male,1
Contemporary Art,prints,"Lam, Wifredo",Cuba,Male,2
Contemporary Art,prints,"Landau, Jacob",America,Male,2
Contemporary Art,prints,"Lassaw, Ibram",America,Male,1
Contemporary Art,prints,"Lassiter, Charles K.",America,Male,1
Contemporary Art,prints,"Laurens, Henri",France,Male,2
Contemporary Art,prints,"Lavier, Bertrand",France,Male,1
Contemporary Art,prints,"Lawrence, Jacob",America,Male,1
Contemporary Art,prints,"Lazzell, Blanche",America,Female,1
Contemporary Art,prints,"Leary, Daniel",America|America,Male,1
Contemporary Art,prints,"Leibowitz, Leonard",America,Male,7
Contemporary Art,prints,"Leithauser, Mark A.",America,Male,1
Contemporary Art,prints,"Lerner, Allan J.",undetermined,Male,1
Contemporary Art,prints,"Leslie, Alfred",America,Male,2
Contemporary Art,prints,"Leuppi, Leo",Switzerland,Male,1
Contemporary Art,prints,"Levee, John",America,Male,2
Contemporary Art,prints,"Levine, Les",Canada,Male,1
Contemporary Art,prints,"Levine, Martin",America,Male,1
Contemporary Art,prints,"LeWitt, Sol",America,Male,32
Contemporary Art,prints,"Libby, William C.",America,Male,2
Contemporary Art,prints,"Lichtenstein, Roy",America,Male,3
Contemporary Art,prints,"Lijn, Liliane",America,Female,5
Contemporary Art,prints,"Limbach, Russell T.",America,Male,2
Contemporary Art,prints,"Lindner, Richard",America,Male,1
Contemporary Art,prints,"Lipton, Seymour",America,Male,3
Contemporary Art,prints,"Longo, Robert",America,Male,1
Contemporary Art,prints,"Longo, Vincent",America,Male,1
Contemporary Art,prints,"Lozowick, Louis",America,Male,1
Contemporary Art,prints,"Lucioni, Luigi",America,Male,21
Contemporary Art,prints,"Lurçat, Jean",France,Male,1
Contemporary Art,prints,Mabuchi Tôru,Japan,Male,1
Contemporary Art,prints,"MacLean, William",America,Male,7
Contemporary Art,prints,Maeda Masao,Japan,Male,3
Contemporary Art,prints,Maeda Toshiro,Japan,Male,1
Contemporary Art,prints,Maekawa Senpan,Japan,Male,9
Contemporary Art,prints,"Maier, Joann",America,Female,3
Contemporary Art,prints,Maki Haku,Japan,Male,3
Contemporary Art,prints,"Marca-Relli, Conrad",America,Male,14
Contemporary Art,prints,"Marden, Brice",America,Male,12
Contemporary Art,prints,"Escobar, Marisol",France,Female,7
Contemporary Art,prints,"Martin, Kenneth",Britain,Male,5
Contemporary Art,prints,Maruyama Hiroshi,Japan,Male,1
Contemporary Art,prints,Matsubara Naoko,Japan,Female,27
Contemporary Art,prints,Matsubara Tatsuo,Japan,Male,1
Contemporary Art,prints,Matsumoto Akira,Japan,Male,2
Contemporary Art,prints,"McCloy, William A.",America,Male,1
Contemporary Art,prints,"McPherson, Craig",America,Male,6
Contemporary Art,prints,"Mead, Roderick",America,Male,1
Contemporary Art,prints,Mekas. Jonas,America,Male,1
Contemporary Art,prints,"Merritt, Norman",America,Male,1
Contemporary Art,prints,"Messager, Annette",France,Female,1
Contemporary Art,prints,"Landy, Michael",Britain,Male,1
Contemporary Art,prints,"Miller, Robert",America,Male,1
Contemporary Art,prints,Minami Keiko,Japan,Female,2
Contemporary Art,prints,"Mitchell, Joan",America,Female,6
Contemporary Art,prints,Miyashita Tokio,Japan,Male,1
Contemporary Art,prints,"Mock, Richard",America,Male,1
Contemporary Art,prints,"Molinari-Flores, Louis",Ecuador,Male,1
Contemporary Art,prints,"Monro, Nicholas",Britain,Male,16
Contemporary Art,prints,"Moore, Henry",Britain,Male,1
Contemporary Art,prints,"Moore, Keiko Hiratsuka",America,Female,2
Contemporary Art,prints,Mori Yoshitoshi,Japan,Male,3
Contemporary Art,prints,"Morris, Robert",America,Male,1
Contemporary Art,prints,"Mortensen, Gordon",America,Male,2
Contemporary Art,prints,"Motherwell, Robert",America,Male,10
Contemporary Art,prints,Munakata Makka,Japan,Male,1
Contemporary Art,prints,Munakata Shikô,Japan,Male,12
Contemporary Art,prints,"Murray, Elizabeth",America,Female,3
Contemporary Art,prints,"Muši?, Zoran",Slovenia,Male,1
Contemporary Art,prints,Mutô Rokurô,Japan,Male,3
Contemporary Art,prints,"Myers, Francis",America,Male,1
Contemporary Art,prints,Nagai Kiyoshi,Japan,Male,3
Contemporary Art,prints,Nagase Yoshio,Japan,Male,2
Contemporary Art,prints,Nakao Yoshitaka,Japan,Male,3
Contemporary Art,prints,Nakayama Tadashi,Japan,Male,4
Contemporary Art,prints,"Nama, George",America,Male,9
Contemporary Art,prints,"Nason, Thomas W.",America,Male,2
Contemporary Art,prints,"Neel, Alice",America,Female,2
Contemporary Art,prints,"Neiman, LeRoy",America,Male,1
Contemporary Art,prints,"Nevelson, Louise",America,Female,1
Contemporary Art,prints,"Newman, Barnett",America,Male,1
Contemporary Art,prints,"Nutt, Jim",America,Male,5
Contemporary Art,prints,"Oldenburg, Claes",America,Male,4
Contemporary Art,prints,"Oliveira, Nathan",Portuguese,Male,1
Contemporary Art,prints,Onchi Kôshirô,Japan,Male,5
Contemporary Art,prints,Ono Tadashige,Japan,Male,5
Contemporary Art,prints,"Opper, Jerry",America,Male,1
Contemporary Art,prints,"Opper, John",America,Male,1
Contemporary Art,prints,"Ortman, George E.",America,Male,1
Contemporary Art,prints,"Ovenden, Graham",Britain,Male,16
Contemporary Art,prints,"Owens, Laura",America,Female,2
Contemporary Art,prints,"Page, John H.",America,Male,1
Contemporary Art,prints,"Paik, Nam June",America,Male,2
Contemporary Art,prints,"Pape, Lygia",Brazil,Female,1
Contemporary Art,prints,"Parent, Claude",France,Male,1
Contemporary Art,prints,"Park, Gloria",undetermined,Female,1
Contemporary Art,prints,"Pasmore, Victor",Britain,Male,6
Contemporary Art,prints,"Pearson, Henry",America,Male,1
Contemporary Art,prints,"Perlmutter, Jack",America,Male,1
Contemporary Art,prints,"Peyton, Elizabeth",America,Female,2
Contemporary Art,prints,"Phillips, Peter",Britain,Male,4
Contemporary Art,prints,"Phillips, Tom",Britain,Male,18
Contemporary Art,prints,"Picasso, Pablo",Spain,Male,7
Contemporary Art,prints,"Pierce, Danny",America,Male,1
Contemporary Art,prints,"Piza, Arthur L.",Brazil,Male,1
Contemporary Art,prints,"Podwal, Mark",America,Male,1
Contemporary Art,prints,"Poliakoff, Serge",France,Male,2
Contemporary Art,prints,"Polke, Sigmar",Germany,Male,2
Contemporary Art,prints,"Porter, Liliana",Argentine,Female,2
Contemporary Art,prints,"Quastler, Gertrude",America,Female,10
Contemporary Art,prints,"Ramos, Mel",America,Male,4
Contemporary Art,prints,Raqs Media Collective,India,n/a,1
Contemporary Art,prints,"Rauschenberg, Robert",America,Male,7
Contemporary Art,prints,"D'Haese, Reinhoud",Belgium,Male,4
Contemporary Art,prints,"Rivers, Larry",America,Male,15
Contemporary Art,prints,"Robbin, Anthony S.",America,Male,2
Contemporary Art,prints,"Roche, François",France,Male,1
Contemporary Art,prints,"Romiti, Sergio",Italy,Male,1
Contemporary Art,prints,"Rosenquist, James",America,Male,12
Contemporary Art,prints,"Ross, Charles",America,Male,8
Contemporary Art,prints,"Rothenberg, Susan",America,Female,2
Contemporary Art,prints,"Rothenstein, Michael",Britain,Male,9
Contemporary Art,prints,"Rothschild, Eva",Ireland,Female,1
Contemporary Art,prints,"Ryman, Robert",America,Male,2
Contemporary Art,prints,Saitô Kiyoshi,Japan,Male,33
Contemporary Art,prints,Sakamoto Isamu,Japan,Male,2
Contemporary Art,prints,"Sala, Anri",Albania,Male,1
Contemporary Art,prints,"Salcedo, Doris",Colombia,Female,1
Contemporary Art,prints,"Salley, David J.",America,Male,2
Contemporary Art,prints,"Sasajima, Kihei",Japan,Male,6
Contemporary Art,prints,"Saul, Peter",America,Male,3
Contemporary Art,prints,"Scholder, Fritz",Native America,Male,1
Contemporary Art,prints,"Scialoja, Toti",Italy,Male,3
Contemporary Art,prints,"Segal, George",America,Male,2
Contemporary Art,prints,"Seguí, Antonio",Argentine,Male,1
Contemporary Art,prints,Sekino Jun-ichirô,Japan,Male,26
Contemporary Art,prints,"Serra, Richard",America,Male,1
Contemporary Art,prints,"Severini, Gino",Italy,Male,1
Contemporary Art,prints,"Shepler, Martha F.",America,Female,1
Contemporary Art,prints,Shima Tamami,Japan,Female,2
Contemporary Art,prints,Shimozawa Kihachirô,Japan,Male,3
Contemporary Art,prints,Shinagawa Takumi,Japan,Male,4
Contemporary Art,prints,Shinoda Toko,Japan,Female,1
Contemporary Art,prints,"Shoulberg, Harry",America,Male,1
Contemporary Art,prints,"Silverman, Melvin F.",America,Male,1
Contemporary Art,prints,"Singier, Gustave",France,Male,3
Contemporary Art,prints,"Skiöld, Birgit",Sweden,Female,9
Contemporary Art,prints,"Smith, Kiki",America,Female,2
Contemporary Art,prints,"Sonderborg, K. R.",Denmark,Male,1
Contemporary Art,prints,"Sonnier, Keith",America,Male,1
Contemporary Art,prints," von Hellermann, Sophie",Germany|America,Female,1
Contemporary Art,prints,Sora Mitsuaki,Japan,Male,1
Contemporary Art,prints,"Spero, Nancy",America,Male,1
Contemporary Art,prints,"Springer, Ferdinand",Germany,Male,1
Contemporary Art,prints,"Spruance, Benton M.",America,Male,71
Contemporary Art,prints,"Stadler, Albert",America,Male,3
Contemporary Art,prints,"Stanick, Peter",America,Male,1
Contemporary Art,prints,"Stankiewicz, Richard P.",America,Male,1
Contemporary Art,prints,"Steg, James L.",America,Male,2
Contemporary Art,prints,"Steinberg, Saul",America,Male,4
Contemporary Art,prints,"Sutherland, Graham V.",Britain,Male,1
Contemporary Art,prints,"Sutton, Sharon E.",America,Female,1
Contemporary Art,prints,"Sway, Albert",America,Male,1
Contemporary Art,prints,"Tàpies , Antoni",Spain,Male,7
Contemporary Art,prints,Tagawa Ken,Japan,Male,2
Contemporary Art,prints,Tajima Hiroyuki,Japan,Male,7
Contemporary Art,prints,Takagi Shirô,Japan,Male,3
Contemporary Art,prints,Takahashi Rikio,Japan,Male,2
Contemporary Art,prints,Takei Takeo,Japan,Male,3
Contemporary Art,prints,"Talleur, John",America,Male,1
Contemporary Art,prints,Tanaka Ryôhei,Japan,Male,3
Contemporary Art,prints,"Teichman, Mary",America,Female,1
Contemporary Art,prints,"Thomkins, André",Switzerland,Male,11
Contemporary Art,prints,"Tilson, Joe",Britain,Male,9
Contemporary Art,prints,"Tiravanija, Rirkrit",Thailand,Male,2
Contemporary Art,prints,Tokuriki Tomikichirô,Japan,Male,3
Contemporary Art,prints,"Torlakson, James D.",America,Male,3
Contemporary Art,prints,"Trevelyan, Julian",Britain,Male,21
Contemporary Art,prints,"Tucker, William",Britain,Male,3
Contemporary Art,prints,"Turnbull, William",Britain,Male,16
Contemporary Art,prints,"Tuttle, Richard",America,Male,8
Contemporary Art,prints,"Twombly, Cy",America,Male,1
